"Timestamp","Do you believe that the AI system eventually learned to classify images correctly?","Do you believe that the AI system eventually learned the correct classification rule?","Would you like to further assess the AI system by checking whether it classifies 10 random images correctly?","Do you believe that the AI system eventually learned to classify images correctly?","Do you believe that the AI system eventually learned the correct classification rule?","Would you like to further assess the AI system by checking whether it classifies 10 random images correctly?","Do you believe that the AI system eventually learned to classify images correctly?","Do you believe that the AI system eventually learned the correct classification rule?","Would you like to further assess the AI system by checking whether it classifies 10 random images correctly?"
"2018/05/08 12:35:07 pm EET","Yes","Yes","No","No","No","No","Yes","No","No"
"2018/05/08 12:39:10 pm EET","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2018/05/08 12:46:22 pm EET","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes"
"2018/05/08 1:03:57 pm EET","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"2018/05/08 1:11:45 pm EET","Yes","No","Yes","Yes","Yes","Yes","No","No","No"
"2018/05/08 1:33:59 pm EET","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes"
"2018/05/08 1:36:40 pm EET","No","No","No","No","No","Yes","No","No","No"
"2018/05/08 1:57:34 pm EET","Yes","No","Yes","No","No","Yes","No","No","No"
"2018/05/08 5:36:05 pm EET","No","No","Yes","Yes","Yes","Yes","No","No","Yes"
"2018/05/08 7:23:15 pm EET","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes"
"2018/05/08 8:43:10 pm EET","No","No","Yes","No","No","Yes","No","No","No"
"2018/05/08 9:09:23 pm EET","Yes","No","No","Yes","No","Yes","No","No","No"
"2018/05/08 9:37:49 pm EET","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes"
"2018/05/09 1:17:27 am EET","No","No","Yes","Yes","Yes","Yes","No","No","Yes"
"2018/05/09 8:17:34 am EET","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No"
"2018/05/09 9:41:22 am EET","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"2018/05/10 4:12:20 am EET","No","No","Yes","Yes","No","No","Yes","No","No"
